Country Name,Indicator Name,Indicator Code,year,value
Morocco,"Population, total",SP.POP.TOTL,2015,34607588.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2015,110413823841.592
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,9.46
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,72.894
Morocco,"Population, total",SP.POP.TOTL,2016,35023457.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2016,111572947004.917
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,9.3
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,73.228
Morocco,"Population, total",SP.POP.TOTL,2017,35446392.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2017,118540573367.844
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,9.22
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,73.608
Morocco,"Population, total",SP.POP.TOTL,2018,35839760.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2018,127341147581.818
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2018,9.272
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2018,73.946
Morocco,"Population, total",SP.POP.TOTL,2019,36210898.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2019,128920266409.458
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2019,9.191
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,74.245
Morocco,"Population, total",SP.POP.TOTL,2020,36584208.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2020,121353645057.144
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2020,11.189
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,73.133
Morocco,"Population, total",SP.POP.TOTL,2021,36954442.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2021,142022058447.231
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2021,10.551
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2021,73.385
Morocco,"Population, total",SP.POP.TOTL,2022,37329064.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2022,131245312804.483
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2022,9.413
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2022,75.161
Morocco,"Population, total",SP.POP.TOTL,2023,37712505.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2023,146036093666.762
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2023,8.896
Morocco,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2023,75.313
Morocco,"Population, total",SP.POP.TOTL,2024,38081173.0
Morocco,GDP (current US$),NY.GDP.MKTP.CD,2024,160610994054.734
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2024,9.103
